sNum	taskId	Target	Callout	Turker_Response1	Turker_Response2	Turker_Response3	Turker_Response4	Turker_Response5
11	2QC8P9Y38TW07KYJHL9M9JTAJGIZIP	"tweets are valuable because they stay true to one point, and dont let users ramble on"	"So Twitter is valuable because its short and focused and doesnt let users ramble on  Wait, isnt it supposed to be a SOCIAL tool Doesnt socializing include communicating with others  in your own personal way What would the world be like if we all just got to the point and didnt  ramble on There were would basically be zero forms of entertainment or interesting conversation."	choice3	choice3	choice3	choice3	choice3
12	27DJ8EBDPGFPGX7GJM0RWDWIRODG1P	the way i heard of this article was through a tweet	I didnt.	choice3	choice3	choice3	choice3	choice3
13	23SZHHRRLFQ4YPIME4SKQO9EJKNOFL	a tweet is fundamentally valueless	"Theres a lot of hype and so in the long  run Twitter may not change the world but the model is here to stay. In the end, it may also not be  Twitter that wins but the space and may be somewhere else.  But as an example, people will always follow celebrities for the same reason that they read and  watch TMZ. Its also very useful from a local business model, Ive found it particularly useful for  finding deals.  Finally, the search engine is very useful. When Clinton freed the American journalists in N. Korea,  Twitter was the best place I found to verify this when the news broke. Thus, throws on ads there  and monetize. I defintely see the value to the service. People should question market size,  structure and potential winner not so much viability of model."	choice3	choice3	choice3	choice3	choice3
14	21NUFJ51Y7QIY1APDFSC1TMOIQ3DA0	the thrill is gone	"And whats more, it was never there"	choice1	choice1	choice1	choice1	choice1
15	2LWGDHDM25LCSBIQJT8E86OE7J8OE3	Well i did	well i didnt.	choice3	choice3	choice3	choice3	choice3
16	2P1HSTLB3L0JLL49BYAESREVHY3IUJ	Popa means Ass in Russian	"Just for accuracy sake Adrian Popa is a Romanian name, and it actually means  Adrian the Priest."	choice3	choice3	choice3	choice3	choice3
17	2ZKKYEPLSP79UNHXJ6UOJHQETOVWQZ	"tweets are valuable because they stay true to one point, and dont let users ramble on"	How do I star that	choice1	choice5	choice1	choice1	choice1
18	2QKHECWA6X32YE76NZG5TXPTLGULM8	Why I Dont UseTwitter	I use twitter because its the only way I could find out about this blog lt;URLgt;  httpstwitter.comMarkClaysonstatus3368828895	choice3	choice3	choice3	choice3	choice3
19	2TX806UFBNFW5IPC2Q051W6NJURG26	Are you guys all part of the same speed reading club?!	Are you kidding Did you think we Tech Crunch readers actually read the articles  We look  at your pictures and deduce the point of your post from them and them alone... psssss... read...  HAHAHA.... anything more than 140 characters is just boring.	choice5	choice3	choice1	choice3	choice3
20	21UJ011K274NHBFHJTS8W46U08ODBV	youre being productive	I feel dirty now	choice5	choice3	choice1	choice5	choice5
21	2UQXMB3Q39Z4L8PKBTK4NVSTYKWITS	its become this bullshit marketing tool for  social media experts	"The thing about Twitter is that it started as a really cool idea  a cloud of  consciousness unfolding before your eyes.  Everybodys cloud was different.  It can become a cloud  of spam if you let it, but you dont have to let it.  I never follow anyone who follows me unless I know them or their tweets are of some interest to me.   Thats the beauty of it  you dont have to follow anyone."	choice1	choice3	choice3	choice1	choice3
22	2RJQP6AUC26HQ824OKUV9FK0FHX292	it was never there	"Youre clearly vain enough to stick around to read and respond here all night  I  would think youd love Twitter.  After all, your many answers to these inane comments mine included, but who said everything has to  be meaningful are like awkwardly done Twitter replies."	choice3	choice3	choice5	choice3	choice3
23	21UJ011K274NHBFHJTS8W46U08ODBV	What?!	I agree with your what!	choice1	choice1	choice1	choice1	choice1
24	23QJIA0RYNJDCPEB9NWBVJTUKR827P	a tweet is fundamentally valueless	"I agree so much, Twitter is just useless. I mean, Im in the same boat as you, what is  actually the point of it"	choice1	choice1	choice1	choice1	choice1
25	2QC8P9Y38TW07KYJHL9M9JTAJGIZIP	"since I follow TC on twitter, I got to reading right away"	Same here	choice1	choice1	choice1	choice1	choice1
26	2QKHECWA6X32YE76NZG5TXPTLGULM8	"1800 words is 1796 too many, when I could have simply  pulled a Bartleby and said I prefer not to."	"Devin, as punishment for writing this longwinded and defamatory article, I command  you to never write anything again unless it is 140 characters or less."	choice5	choice1	choice3	choice5	choice5
27	2T6K2JE1M7POUBGIJTFZJC04OS9WP8	Its funny because he used a lot of words.	"I think Devin must be an ENFJ which means his Myers briggs T shirt says Articulate,  articulate, articulate!"	choice1	choice1	choice5	choice5	choice1
28	2ZKKYEPLSP79UNHXJ6UOJHQETOVWQZ	it stuck	Just like Daylight Savings Time.	choice1	choice1	choice1	choice5	choice1
29	2LWGDHDM25LCSBIQJT8E86OE7J8OE3	I didnt.	Well i did	choice3	choice3	choice3	choice3	choice3
30	2IMIXKO2L92LOER1TKUYXCCF351DEV	its funny cause its true  Dane Cook	"Are you seriously giving Dane Cook credit for its funny cause its true  I  dont know if they originated it, but it was on lt;URLgt; The Simpsons in 91.  Chances are they  didnt get it from a 19yearold Cook."	choice3	choice3	choice3	choice3	choice3
31	2FT49F9SSSH1B3EFAFK5Q5F8MX0TX3	Adrian Popa	"Popa means Ass in Russian, look it up..."	choice5	choice5	choice5	choice5	choice5
32	2T6K2JE1M7POUBGIJTFZJC04OS9WP8	a tweet is fundamentally valueless	"Hey everyone!  Twitter was just a joke.  A prank to see who would fall for a useless  service that only narcissists could love.  But the funniest thing is, it stuck. Ahhhh!"	choice3	choice1	choice1	choice1	choice1
33	2UQXMB3Q39Z4L8PKBTK4NVSTYKWITS	ive come to the conclusion that its not techcrunchs bloggers. its the company  techcrunch its self.  here we all see more blabbering on about useless crap. do you guys get paid  to be this insignificant?  why couldnt you tweet this;  blah blah blah im going to a nerd fair and i want to tell everyone why im so cool for not trying to  be a sheep like all of you losers! and i still have 6 characters left  why couldnt you just tweet that your a moron! it would have saved us all the time.  all i read was look i can use big word to describe to everyone im a idiot.  now i realize techcrunch deserves you on the payroll. not because you try to sound smart but  because you waste more time.	What!	choice3	choice3	choice3	choice3	choice3
34	2LWGDHDM25LCSBIQJT8E86OE7J8OE3	it was never there	Exactly. Twitter was always lame. Im glad I dont know anyone who tweets.	choice1	choice1	choice1	choice1	choice1
35	20EKUDD8XMB7054QNYXU2O6T777ODA	the value of Twitter is zero	"That would be proof that the average value is zero, not the total value.  Total value  would be the sum of all tweets, which as you mentioned is positive and infinite though less  infinite than worthless tweets."	choice3	choice3	choice3	choice3	choice3
36	21NUFJ51Y7QIY1APDFSC1TMOIQ3DA0	a tweet is fundamentally valueless	"u have valid reasons in your post about how twitter falls short, but for  the time being i would like to use every avenue i have to get my articles read, my writing style  fixed, and get my topics to be more appealing. twitter helps somewhat, so ill take it!"	choice3	choice3	choice3	choice3	choice3
37	2QQD8J3VE7WW2VIPZ3UMLK8AWV7ZJ1	But i cringe when i hear some one say it on TV.	I am so sick and tired of CNNs Rick Sanchez and Josh Levs acting like Twitter is the  greatest thing since pants....if I hear Rick reference the Twitter board one more time...	choice1	choice1	choice1	choice1	choice1
38	2ZKKYEPLSP79UNHXJ6UOJHQETOVWQZ	"I did. Ive heard it all before. Anyhoo....why do I tweet? I tweet because Im too  lazyuninteresting to write blogs. Thats it.  And I like to follow interesting ppl. Not ppl I know in particular, but them also..although thats  what facebook is for. Oh..and changing status too often on facebook will piss ppl off.  Also, I look for tweets about my company as well as watch trending topics....  I like it. Sorry lt;IMAGEgt;"	See Now youre being productive.	choice1	choice1	choice1	choice5	choice5
39	2QQD8J3VE7WW2VIPZ3UMLK8AWV7ZJ1	Its funny because he used a lot of words.	and todays Stating The Obvious awards goes to...	choice1	choice5	choice5	choice3	choice5
40	2X4MEGOOGQSGW8D1XPJERUUU3T0DD2	Vanity! Twitter encourages it.	"I agree, total vanity.  I may spend too much time on Facebook occasionally, but Ill be  damned if I think that all of my friends care if I update my status several times a day.  How is  Twitter any different from that"	choice1	choice1	choice1	choice1	choice1
41	2UQXMB3Q39Z4L8PKBTK4NVSTYKWITS	Twitter was always lame.	"No at all, twitter is not just a social media for breaking the news and it  doesmakes senseand spreads the communication in few seconds. it helps to developbusiness.. It  has its own value as do emails, IM, messages, posts, votes, invitations, events, feeds. Of course  its faster than other medias."	choice3	choice1	choice3	choice3	choice3
42	2TX806UFBNFW5IPC2Q051W6NJURG26	HAH. Its funny because he used a lot of words.	BING!	choice1	choice1	choice5	choice1	choice1
43	2DM0SPW1INMLQ0LV6QEAK6BFP8RG3H	just tired of ppl demanding me to justify myself for using a service	"Hey, I said very specifically that these are simply my own personal reasons for not  using twitter. I think theyre good reasons and youre free to disagree. Remember, the first thing  I said was that I believe in twitter and I believe people really do find it useful  just not me."	choice3	choice3	choice1	choice3	choice3
44	2RJQP6AUC26HQ824OKUV9FK0FHX292	that really was masturbation	I dont know what to tell you if you think expression is masturbation and concern  is vanity.	choice3	choice3	choice3	choice3	choice3
45	27ZM8JIA0RYRTBXE67D0EBMJWNT50T	a tweet is fundamentally valueless	wow..finally an article on TC asking people not to tweet..loving this!	choice1	choice1	choice1	choice5	choice1
46	2QKHECWA6X32YE76NZG5TXPTLGULM8	a tweet is fundamentally valueless	"Interesting, then, that I was alerted of your article via Twitter. Would you argue that the  140 characters that led me to your article were useless"	choice3	choice3	choice3	choice3	choice3
47	21NUFJ51Y7QIY1APDFSC1TMOIQ3DA0	it helps to developbusiness	"More than value for business, Twitter takes most of your time. Once you get caught  in the flurry of tweets, youre lost. Theres no escape for you. Again, if you are away from  Twitter, you lose. Because  people forget you if you dont tweet regularly. Its a catch to  situation."	choice3	choice3	choice5	choice1	choice1
48	2IMIXKO2L92LOER1TKUYXCCF351DEV	What can be said in 140 characters is either trivial or abridged	1. its not always abridged you can include links to websites like this one	choice3	choice3	choice3	choice3	choice3
49	2ZB3HVWAVKIACPEHPOY2899QKZNOGK	Are you guys all part of the same speed reading club?!	Who wants to read 1930 words by someone we never heard of before about why I dont  tweet  Of course we just skim read it.	choice3	choice5	choice3	choice1	choice3
50	2KOXBAT2D5NU8P06QDRJP5TYPGO26Q	"tweets are valuable because they stay true to one point, and dont let users ramble on"	"Tweets are for ADD culture who do not have the attention span to read 1800 words. OMG, 1800  words, is that like a book"	choice3	choice3	choice3	choice3	choice3
51	22M2J1LY58BBC9HR536KQD16184R6U	What?!	"your starting to get it what! was that a tweet, you  twat!  is you dont like twitter you should have disabled the comment section to your worthless nonsense."	choice5	choice3	choice3	choice3	choice5
52	27OSVQ8H88MU48GWBYMCR1RX0XM7Q8	You should have read it.	I did. Ive heard it all before. Anyhoo....why do I tweet I tweet because Im too  lazyuninteresting to write blogs. Thats it.	choice3	choice3	choice3	choice3	choice3
53	2TX806UFBNFW5IPC2Q051W6NJURG26	Are you guys all part of the same speed reading club?!	"Well ironically, since I follow TC on twitter, I got to reading right away!"	choice5	choice1	choice3	choice1	choice3
54	2NORLPHIT3HZ6CQB5TTNSQ21AVBAIZ	"As for spreading news, there I can see it might be helpful for some."	"I believe twitter is more of a link to news site.  Meaning that most of my 140 characters are  usually used for a hyperlink to some information I believe is useful to me at least, and  therefore, hopefully useful to others.  I was a big opponent of twitter until I started using it  regularly and following the people that I find interesting."	choice1	choice1	choice1	choice3	choice1
55	20EKUDD8XMB7054QNYXU2O6T777ODA	it made me laugh	"All right everyone, point and laugh!"	choice5	choice1	choice1	choice1	choice1
56	2NORLPHIT3HZ6CQB5TTNSQ21AVBAIZ	me too.	Me three.	choice1	choice5	choice1	choice1	choice1
57	2A30XULRGNTFT5HD0KWFY7N65DTR5E	the way i heard of this article was through a tweet	same	choice1	choice1	choice1	choice1	choice1
58	27ZM8JIA0RYRTBXE67D0EBMJWNT50T	a tweet is fundamentally valueless	Twitter is teh BOMB!	choice1	choice3	choice3	choice3	choice1
59	2A30XULRGNTFT5HD0KWFY7N65DTR5E	it was never there	Its not that there is nothing good about it.  Its just that whatever is there is  overhyped.	choice1	choice3	choice3	choice3	choice3
60	2FT49F9SSSH1B3EFAFK5Q5F8MX0TX3	tweets are valuable	"This is funny, cause the way i heard of this article was through a tweet."	choice1	choice1	choice1	choice3	choice1
61	27OSVQ8H88MU48GWBYMCR1RX0XM7Q8	a tweet is fundamentally valueless	"Dude, tweets are valuable because they stay true to one point, and dont let users ramble on. I  can see why Twitter wasnt working out for you."	choice3	choice3	choice1	choice3	choice1
62	2DKGTP9RA7S96OWXWLJOO70JPAXWR0	a tweet is fundamentally valueless	I agree... the thrill is gone.	choice1	choice1	choice1	choice1	choice1
63	2DM0SPW1INMLQ0LV6QEAK6BFP8RG3H	Me three.	"Me number 775 because I RT it using the coined term as the highlight  As  journalist in Brazil, I use Twitter to reach blogs like yours which I would take a little  too  much  longer to achieve if not for Twitter... and other very good sources of information. Believe  me! Its not only a vanity thing. I think you have a good point but, there is a good point for  poeple of Iran and Cuba  when they have only Twitter as a source of information to show what  others cannot... and it can open up a seminar on the subject..."	choice5	choice1	choice3	choice5	choice5
64	2LOOQ1SNQQ7UG9VWODBCWR12WJO7R9	Popa means Ass in Russian	"Id just like to confirm that this is true, because it made me laugh.  In  Russian his name is Adrian Butts."	choice1	choice1	choice1	choice1	choice1
65	2ZB3HVWAVKIACPEHPOY2899QKZNOGK	"What can be said in 140 characters is either trivial or abridged; in the first case it would be  better not to say it at all, and in the second case it would be better to give it the space it  deserves."	Try Woofer. It has a 1400 character MINIMUM! Httpwoofertime.com	choice1	choice5	choice1	choice5	choice1
66	2QC8P9Y38TW07KYJHL9M9JTAJGIZIP	a tweet is fundamentally valueless	3.its not valueless the people in Iran protesting the elections used twitter to communicate where  to go for help since hospitals betrayed them to the authorities	choice3	choice3	choice3	choice3	choice3
67	2P1HSTLB3L0JLL49BYAESREVHY3IUJ	as punishment for writing this longwinded and defamatory article	Or why not someone else from TC write an article with title Why I Use Twitter	choice1	choice3	choice1	choice1	choice1
68	21UJ011K274NHBFHJTS8W46U08ODBV	you  twat	The first nonpro Twitter post and you are called a twat.  Nice...  I see you did not get the free  sample of Twitter Koolaid!  me neither	choice3	choice1	choice5	choice5	choice3
69	2KOXBAT2D5NU8P06QDRJP5TYPGO26Q	"Its really pathetic when someone in the  Internet era says, that Twitter is the only way you can find a blog post."	1000 seriously people	choice5	choice5	choice1	choice1	choice1
70	2MCUKQOYGNI0BPNZB3R197SVJ33ZHW	world wildlife federation is a sport?  Get your rifle!	Doh....	choice5	choice3	choice5	choice3	choice1
71	2X4MEGOOGQSGW8D1XPJERUUU3T0DD2	"tweets are valuable because they stay true to one point, and dont let users ramble on"	HAH. Its funny because he used a lot of words.	choice5	choice1	choice1	choice5	choice3
72	27ACM6IAA2SISWPLNNFQTKA4LB4LL6	it quickly turned into a massive broadcastlink machine	"This is also my problem with Twitter, its become this bullshit marketing tool for  social media experts. Every day Im followed by more and more and its getting beyond annoying."	choice1	choice1	choice1	choice1	choice1
73	23SZHHRRLFQ4YPIME4SKQO9EJKNOFL	Its funny because he used a lot of words.	ya...its funny cause its true  Dane Cook	choice1	choice1	choice1	choice1	choice1
74	23QJIA0RYNJDCPEB9NWBVJTUKR827P	twitter is not just a social media for breaking the news and it  doesmakes sense	"I do agree with you .. it helps a lot .. if its really not that good .. then  why we are discussing this ,.. or if its really that bad . then why the hell ppl would want to hack  it .. apart frm that .. its really easy to get toknow whats going on the other side of the world ..  ppl tweet frm different countries .. discuss differet things .. and same things .."	choice1	choice1	choice1	choice1	choice1
75	2DKGTP9RA7S96OWXWLJOO70JPAXWR0	Why I Dont UseTwitter	"Lol..Im so tired of rants from people that dont get Twitter. Just dont use it, then."	choice3	choice3	choice1	choice3	choice3
76	23SZHHRRLFQ4YPIME4SKQO9EJKNOFL	"saying  twitter is useless is like the idiots who questioned the value of CNN, CSPAN amp; 24hr NEWS"	"I was right with you until   saying twitter is useless is like the idiots who questioned the value of CNN, CSPAN amp; 24hr NEWS  If you think these corporations CNN amp; CSPAN provide news then youre ripe for picking by these  same corporations that will feed you news or any other vital information via Twitter."	choice3	choice3	choice3	choice3	choice3
77	22M2J1LY58BBC9HR536KQD16184R6U	Tweets are for ADD culture	"You have to wonder, since A.D.D. is on the increase.  This article was a pleasure to  read though, Devin is a weaver of words."	choice1	choice3	choice1	choice3	choice1
78	2LOOQ1SNQQ7UG9VWODBCWR12WJO7R9	it quickly turned into a massive broadcastlink machine	"it quickly turned into a massive broadcastlink machine  Exactly! I wrote a column myself like the post above, about having similar sentiments  lt;URLgt;   Twitter is a suckers game that only serves the needs of a tiny elite  The heart of it was that I didnt want to be cog in that broadcastlink machine. Many people didnt  seem to grasp that point, and I got a lot of flack replying basically youcanchat! But I dont  want to chat in little public snippets."	choice1	choice1	choice1	choice1	choice1
79	2X4MEGOOGQSGW8D1XPJERUUU3T0DD2	"Owner, lt;URLgt; TwitterBackground.com  Free Twitter backgrounds"	"Kind of makes sense you would be interested in what is going on with twitter, since you  have a twitterfocused web site. Have you received any VC funding yet"	choice5	choice5	choice5	choice5	choice3
80	2NORLPHIT3HZ6CQB5TTNSQ21AVBAIZ	Without it your readership would be so weak dude.	"Uhhhh yeah, Im pretty sure TechCrunch has had a sizable following for much longer than  Twitter has been around.  In fact, it goes the other way. I didnt start using Twitter until TechCrunch started reporting so  heavily on it."	choice1	choice3	choice3	choice3	choice3
81	27DJ8EBDPGFPGX7GJM0RWDWIRODG1P	me too.	Me too!	choice1	choice1	choice1	choice1	choice1
82	2DKGTP9RA7S96OWXWLJOO70JPAXWR0	They are not insulting you or your being	lol just tired of ppl demanding me to justify myself for using a service. Hes doing  the exact thing that he thinks is annoying himself.	choice5	choice3	choice1	choice1	choice3
83	28J4IXKO2L96RG7NXTO37OCCITODC2	Conversation is impossible; every exchange is  telegraphic	2. its not always public you can direct message someone	choice3	choice3	choice3	choice3	choice3
84	2LOOQ1SNQQ7UG9VWODBCWR12WJO7R9	"Youre clearly vain enough to stick around to read and respond here all night  I  would think youd love Twitter.  After all, your many answers to these inane comments mine included, but who said everything has to  be meaningful? are like awkwardly done Twitter replies.  Also why are there so many people named Adrian in these comments?  Twitter helped me reach people I would have had a much, much harder time reaching and as a  consequence it has helped to speed the growth of my business.  Would I use it if I didnt see the business value? Nope.  Twitter or no Twitter, youre wasting your talent. Just because youre fairly good at writing your  way through a sentence doesnt mean youre actually saying anything interesting.  Sorry, but that really was masturbation, and Im kinda bummed I wont get the time back. And I  didnt skim."	"You my friend, are a douchbag. Congrats."	choice3	choice5	choice3	choice3	choice3
85	23QJIA0RYNJDCPEB9NWBVJTUKR827P	it was never there	Amen Devin!  I hate to always be bad mouthing twitter but there really isnt much good to say about it so all  youre left with is how overrated it is.	choice1	choice1	choice1	choice1	choice1
86	28J4IXKO2L96RG7NXTO37OCCITODC2	Of course we just skim read it.	"First of all I tweet, and I know why I do that.  However that dont stop me from arguing that you can be so plain white. What you skim read was an  article explaining some points why twitter has it problems.  And I must tell you I agree with some, not all, but with some of them. Because rather than say I  dont tweet, he really explained why.  Twitter shouldnt be a cult and we must see it less bright side."	choice3	choice3	choice3	choice3	choice1
87	2IF3V0FK0COOCL9S9UGKT9LRZZ0OHJ	a tweet is fundamentally valueless.	"If that happens, people are going to start questioning the efficienty,  opportunity cost and ROI of being entrenched on twitter."	choice3	choice1	choice3	choice3	choice1
88	2IF3V0FK0COOCL9S9UGKT9LRZZ0OHJ	a tweet is fundamentally valueless	"Twitter helped me reach people I would have had a much, much harder time reaching and as a  consequence it has helped to speed the growth of my business."	choice3	choice3	choice3	choice3	choice3
89	2MCUKQOYGNI0BPNZB3R197SVJ33ZHW	Why I Dont UseTwitter	Thank you so much for writing this. Twitter is contributing mightily to the  further retardation of people everywhere.  You know the type of people who would just as soon pass  out rather than read a paragraph.	choice1	choice1	choice1	choice1	choice1
90	2A30XULRGNTFT5HD0KWFY7N65DTR5E	"Lol..Im so tired of rants from people that dont get people who dont get Twitter.  They are not insulting you or your being....  Step down from the table, you are still a good person."	I love this comment.	choice1	choice1	choice1	choice1	choice1
91	20EKUDD8XMB7054QNYXU2O6T777ODA	a tweet is fundamentally valueless	"Twitter is highly valuable from an SEO and Aggregation standpoint. Link all of your Social  accounts Facebook, Twitter, Flickr, Friendfeed, etc together with Applications, and remove the  silo effect."	choice3	choice3	choice3	choice3	choice3
92	28J4IXKO2L96RG7NXTO37OCCITODC2	I question its value as a news or other service.	Like WWF is a sport	choice1	choice5	choice3	choice1	choice5
93	2FT49F9SSSH1B3EFAFK5Q5F8MX0TX3	Im so tired of rants from people that dont get Twitter.	You should have read it. Or at least the last 2 paragraphs that summarized what the point  of the post was.	choice3	choice3	choice3	choice5	choice3
94	27DJ8EBDPGFPGX7GJM0RWDWIRODG1P	"As for spreading news, there I can see it might be helpful for some."	I think Twitter is a form of entertainment. I question its value as a news or other service.	choice3	choice3	choice3	choice3	choice3
95	2RJQP6AUC26HQ824OKUV9FK0FHX292	Im so tired of rants from people that dont get Twitter.	"Lol..Im so tired of rants from people that dont get people who dont get Twitter.  They are not insulting you or your being....  Step down from the table, you are still a good person."	choice3	choice3	choice3	choice3	choice3
96	2T6K2JE1M7POUBGIJTFZJC04OS9WP8	Why I Dont UseTwitter	"I tweet because well, I really dont tweet. I read tweets and follow the trends. I like the  fact I can see whats the latest thing going on; and search realtime deeper. I like the fact, I  can get first person views on things. I like following celebrities, CEOs, etc. to see how their  lifestyles are. I follow all my friends and I can know exactly whats going on by watching their  tweets and what they plan to do that night or whats going on during the week.  I have TechCrunch on sms alerts to my phone for any tweets. I feel like I am always in the loop."	choice3	choice3	choice3	choice3	choice3
97	2IMIXKO2L92LOER1TKUYXCCF351DEV	a tweet is fundamentally valueless	"And theres mathematical proof that the value of Twitter is zero. To paraphrase Douglas  Adams  The number of Tweets generated is infinite since manymost are generated automatically, we can  assume this will only continue and grow exponentially to be an infinite number. The number of  valuable Tweets is finite.  Any finite number divided by infinity is zero or a number  infinitesimally larger than, but never equal to, zero, or fI1I."	choice1	choice1	choice1	choice1	choice1
98	2ZB3HVWAVKIACPEHPOY2899QKZNOGK	its become this bullshit marketing tool for  social media experts	You got it. Any social media property will end up being a spam fest.	choice1	choice1	choice1	choice1	choice1
99	2DM0SPW1INMLQ0LV6QEAK6BFP8RG3H	"tweets are valuable because they stay true to one point, and dont let users ramble on"	Not very convincing and logical devils advocate play	choice3	choice3	choice3	choice3	choice3
