sNum	taskId	Target	Callout	Turker_Response1	Turker_Response2	Turker_Response3	Turker_Response4	Turker_Response5
13	2J1ENLVWJ5OTL2TM3MZYVWB7HG01TU	Google has vapor	"Yes, vapor, like a demo and available open source operating system. -_-"	choice1	choice1	choice3	choice3	choice1
14	2K5AB6BFMFFS80DKOGAFMGESFRHWJI	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"Next thread on AppleCruch: iPad: Buy it, because we're telling"	choice5	choice5	choice3	choice5	choice5
15	2DH9RNDWIOV529NEQ0KG313YGQYGVO	The iPad isn't a personal computer.	yes its more an electronic newspaper than a computer.	choice1	choice1	choice1	choice1	choice1
16	2ECYT3DHJHP8LF8B3RP80SX90U71UL	It was too expensive	"well isn't the defining characteristic of a netbook its price, even more than its size?"	choice1	choice3	choice5	choice3	choice3
17	2WIOHOVR14I1UQXCWP8ELWA60UP76M	"Next thread on AppleCruch: iPad: Buy it, because we're telling"	and on iengadget.com and igizmodo.com...  these sites are already nothing more than unofficial ad-campaigns for iproducts	choice1	choice1	choice3	choice3	choice1
18	2GYKPEIB9BA0VUHOCDWV6UD3PKH0X8	Apple attacked from the top with their premium computers	"Sorry, don't fully agree that the iPad is superior to every netbook out there."	choice3	choice3	choice3	choice3	choice3
19	2DMZMAZHHRRPPSVFAAMRQ1KHR05CLS	the iPad isn't competition for a netbook	"Agree with rick and turnbull --- target markets are not the same, so no collision except for a  small group of users sitting on the boundary fence. Soccer moms will love the iPad. Techies not so  much."	choice1	choice1	choice1	choice1	choice1
20	2ZB3HVWAVKIACPEHPOY2899QKX1OGU	"Next thread on AppleCruch: iPad: Buy it, because we're telling"	99	choice5	choice5	choice5	choice5	choice5
21	2QG8TNKIMZSQFMA8FPFM9PGVIU7YBX	Google has vapor	&lt;URL/&gt; http://www.chromium.org  It's hardly vapour	choice3	choice3	choice3	choice3	choice3
22	2BT2YU98JHSXVDYCN22JIIOBM59OCK	"To do something innovative ,first they have to change their CEO!"	"As for the clowns quacking about changing the CEO, did you look at last quarter's results?"	choice3	choice3	choice3	choice3	choice3
23	2JNL8I9NZW6LO11F1RHWGT86C7KLVZ	The iPad And Chrome OS Netbooks Are On A CollisionCourse	netbooks are better period	choice3	choice3	choice3	choice5	choice3
24	2DMZMAZHHRRPPSVFAAMRQ1KHR05CLS	they're still playing catch up with  real applications	"So you re saying that iPad, a product that won't be for sale for a another two months,  don't have a software catalogue available today ? Wow, that's surprising!  The future looks different though. Omni just announced that they will port five products to the  iPad, at least two of which that might do the trick for what you want to do."	choice3	choice3	choice3	choice5	choice3
25	2GYKPEIB9BA0VUHOCDWV6UD3PKH0X8	"I have the T91MT, but nice as it looks from the specs it (Windows 7 Touch) just doesn't  respond the way the iPad appears to."	"i have a t91mt. i am loving it. in fact i am on my couch and responding to this  post.  i had a srluggish system as well untill i upgraded to 2 gb RAM. the processor is definitely slow  but that is something i knew when i bought it.  battery life is excellent and though it may not be as slick as the ipad, it is more functional. i  carry it arround and read pdfs and ebooks on it without issue."	choice3	choice3	choice3	choice1	choice3
26	2776AUC26DGAHFWOQIRFT0CONTA4BK	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"The colision course, as I see it, is not between form factors (there are pros and cons to each) but  between Apple's closed up, control freaked business model and Google's more open one. And I think  google's the smarter one."	choice1	choice3	choice5	choice1	choice3
27	2C914IXKO2LDCJ93JXXXCYOCF6QBC3	could you explain what's the innovation in iPad	The main innovation in iPad is that they very carefully tailored the user  interface for the new screen size/setup.	choice3	choice5	choice5	choice5	choice3
28	2JNL8I9NZW6LO11F1RHWGT86C7KLVZ	"Now, it remains to be seen if people who buy an iPad will do so instead of buying a netbook. At  first, &lt;URL/&gt; I'm not so sure that will be the case. But it stands to reason that eventually, this  will happen. And as Jobs' comments on stage on Wednesday made abundantly clear, that's Apple's idea  too. In their eyes, you shouldn't buy a cheap, underpowered PC, you should buy an iPad, their  anti-netbook."	"Slashdot has an article on a new $100 Android netbook that looks pretty reasonable to me.  The  lack of proper background multitasking on the iPad is a killer for me, as is the lack of a built-in  memory port of any kind.  I'm ordering one ASAP just to play with it, but it'll probably gather  dust like my iPhone 3G and my iPod Touch that I bought to play with and gave up hope on."	choice3	choice3	choice1	choice3	choice3
29	20EKUDD8XMB7054QNYXU2O6T75LODK	to say the iPad lacks innovation because a few  features are missing is ludicrous	Oh Great...now could you explain what's the innovation in iPad?	choice3	choice3	choice3	choice3	choice3
30	2WW4EGDHDM29VAD0AMN6QEZ6R5VCMU	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"I'm a fan of Apple and I expect there to be an iPad in the house within a couple of years  (although it'll be my mum who picks one up), but even so I'm leaning towards Chrome OS and netbooks  in general."	choice5	choice1	choice1	choice3	choice5
31	2FILWSBRI8IYL4TLWVAH1TLB6CQE2X	Google wants  everyone to move towards doing everything on their apps in the cloud.	I'd sure be  happier with the iPad if it worked better with the cloud.	choice5	choice3	choice5	choice1	choice1
32	2PWR9Y8TNKIQ9UHW728SBOM0S7L8V0	"Microsoft had a net income of around 14.5 billion USD in 2009, not 3.05 billion USD."	"Actually, he was comparing profit... See how he said profit not net income.  They're two different things."	choice3	choice3	choice3	choice3	choice3
33	2BT2YU98JHSXVDYCN22JIIOBM5ACO9	the truth we are frustrated	The truth is that I am frustrated at your lack of punctuation.	choice5	choice3	choice5	choice5	choice5
34	2J9CJK63ZVE7RTVBH51QIJL5UU4Y9N	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"But still, I don't exactly consider netbooks and the iPad to be on a collision course. My mum wants  an iPad because it has a big screen and has intuitively limited functionality, and I want a netbook  because I just need something that I can easily type on and customise the experience to what I want  and need.  Same position in the market (in between phones and regular computers) but not on the same paths in  my opinion."	choice3	choice3	choice3	choice3	choice3
35	2LWGDHDM25LCSBIQJT8E86OE7HMOED	they're still playing catch up with  real applications	"There are thousands of developers dying to release apps for the iPad and if you compare what's  available for Chrome OS to the iPhone App Store, you'll find 2 or 3 categories where Chrome OS has  better, superior apps (due to Apple's hamfisted restrictions), but Chrome OS lags everywhere else."	choice3	choice1	choice3	choice3	choice3
36	2LWGDHDM25LCSBIQJT8E86OE7HMOED	they already have this in iWork	"Na JoeYYY, I wish iWork.com was as good at online collaboration as Google Apps but it's  just not...With iWork.com (still beta after a couple years) you have to download the document to  make changes, very very very different from the real time collaborative editing of Google Apps..."	choice3	choice3	choice3	choice3	choice3
37	2LWGDHDM25LCSBIQJT8E86OE7HMOED	4	-6 +2 x3 /17	choice5	choice5	choice5	choice3	choice5
38	2WW4EGDHDM29VAD0AMN6QEZ6R5VCMU	these sites are already nothing more than unofficial ad-campaigns for iproducts	"Why bother coming to read a website that you claim is Apple biased (it's not, you are  just Microsoft fanboys)?"	choice3	choice3	choice3	choice3	choice3
39	2NJ8N46UXFCHE7S31GED1NTKLETTRH	it remains to be seen if people who buy an iPad will do so instead of buying a netbook	"The Use Cases of a netbook and a tablet are completely different. If typing is your thing, then  a netbook will suit. If you want a device that is easy to use on PT, a cafe, at meeting, or  collaborating  then a tablet will prove to be more useful."	choice5	choice3	choice3	choice3	choice3
40	20JLY58B727QAKB67441FYFSY6V9U2	"Google wants  everyone to move towards doing everything on their apps in the cloud. Apple, as they made clear  with their overly-long iWork for iPad demo on Wednesday, wants everyone to move towards using  iPhone OS-based apps."	"Think about it from a developer's standpoint.  With Apple, you could develop something on the  iPhone or iPad first, and then tweak it a little bit to work on the other device.  You only have to  think about a max of two platforms, both with a huge base of users who have demonstrated that they  are will to pay good money for quality apps.  Then look at Google.  You could develop something for Android, and there's no guarantee that it  will even work on all android phones.  Plus, they have not done a good job training their users to  pay for apps, so you'll hardly make any money even if it's one of the best apps on the platform.   And then you can't leverage any of your android hard work on Chrome OS because the two have even  less in common.  If developers are the difference between success and failure (as a different TC post has said  today) then Apple has already won.  It's the ecosystem."	choice5	choice3	choice5	choice3	choice3
41	23SZHHRRLFQ4YPIME4SKQO9EJI1OFV	With the iPad now clearly aimed at netbooks	"With the iPad now clearly aimed at netbooks...  Sorry, the iPad isn't competition for a netbook. The iPad isn't a personal computer. It's a  web-browsing/book reading device, which is also a vehicle for AAPL's content."	choice3	choice3	choice3	choice3	choice3
42	2PWR9Y8TNKIQ9UHW728SBOM0S7L8V0	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"Chrome OS will for Tablets, Netbooks, Notebooks, and PC Desktops. See the link... &lt;URL/&gt;  http://dev.chromium.org/chromium-os/user-experience/form-factors  Collision Course?"	choice5	choice1	choice1	choice3	choice3
43	23T3Q39Z0B6Y3Q1KR1MS2VRKJGMLW9	"looking at the Xbox 360, Windows 7 and Office 2010 you appear to be flat out wrong"	You are right on XBOX 360 -- but wrong on everything else?  Windows 7? C'mon that was just an expensive service pack to Vista. Where is the innovation in that?  Office 2010? Ribbon? Really? It's so hard to use that Microsoft had to make a game so people could  figure out how to use its features.	choice3	choice3	choice3	choice3	choice3
44	2FNCOW0LGRZ7IEM68ZXVWUZWGIRZ8R	"But the obvious strategy for this used to be that Google would attack Microsoft from the bottom  with its Chrome OS netbooks, while Apple attacked from the top with their premium computers, &lt;URL/&gt;  leaving Microsoft squeezed in the middle. With the iPad now clearly aimed at netbooks thanks to its  pricing and Apple's positioning, everything is &lt;URL/&gt; different.&lt;br /"	"A tip for the editor...  The Chromium OS team (the base of Chrome OS) is working on Tablets, Netbooks, Notebooks, and PC  Desktops.  That's include... high resolutions desktops, multitouch support, accelerometer, and four (4) user  interfaces for Chromium.  Read the Open development page of Chromium OS for more info."	choice5	choice3	choice3	choice3	choice3
45	2J1ENLVWJ5OTL2TM3MZYVWB7HG01TU	isn't the defining characteristic of a netbook its price	The problem with the netbook is there is no defining characteristic other then cost.   There is no innovation in user interface and the netbook as a shrunk laptop makes many compromises  to reach the low price point.	choice1	choice3	choice1	choice1	choice1
46	2J1ENLVWJ5OTL2TM3MZYVWB7HG01TU	The iPad And Chrome OS Netbooks Are On A CollisionCourse	Not sure if the iPAD and the GoogOS netbooks compete head on. There might be crossover apps but  each will play to its strengths. Goog is going after Microsoft with their OS and online apps and  iPAD could just be an entertainment/leisure apps consumer device.	choice3	choice3	choice1	choice3	choice3
47	23T3Q39Z0B6Y3Q1KR1MS2VRKJGMLW9	if you compare what's  available for Chrome OS to the iPhone App Store	"Yes, there would be some good applications for the iPad for a lot of things, but they'll always be  behind what's out there, both in quantity AND quality because there's simply a limit to what a  limited number of developers can do, and there's a limit to how many applications you can cram in  one store, and there's a limit to how many apps the Apple approval staff (or bots or whatever they  are) can review..."	choice3	choice3	choice1	choice1	choice1
48	2FILWSBRI8IYL4TLWVAH1TLB6CQE2X	you're forced to use windows or  linux on it	linux rules!!	choice3	choice3	choice5	choice3	choice3
49	20EKUDD8XMB7054QNYXU2O6T75LODK	Are you an `ergonomics' expert?	Are you?	choice5	choice3	choice5	choice3	choice3
50	2FNCOW0LGRZ7IEM68ZXVWUZWGIRZ8R	Why do I want to have to email iWork  documents	"But, they already have this in iWork:  &lt;URL/&gt;  http://www.apple.com/iwork/iwork-dot-com/?cid=APP-NAUS-IWORK-090702-00003&amp;cp=APP-IWORK-00003&amp;sr=IWOR K.COM"	choice5	choice3	choice3	choice3	choice3
51	2ECLRGNTBJ3QWFSW2CYNF2KHE0C8UB	The iPad And Chrome OS Netbooks Are On A CollisionCourse	I would say the iPad &amp; the Android Tablet are on a collision course.	choice1	choice3	choice1	choice3	choice3
52	2ECLRGNTBJ3QWFSW2CYNF2KHE0C8UB	See the link... &lt;URL/&gt;  http://dev.chromium.org/chromium-os/user-experience/form-factors	"Oh wow, I hadn't seen that page.  That tablet UI looks really nice."	choice1	choice1	choice5	choice1	choice1
53	2BT2YU98JHSXVDYCN22JIIOBM5ACO9	Microsoft have a lack of vision. Maybe this will kick start `em	I'm sure Microsoft is watching ... I just can't wait for them to bring something innovative  in the near future.	choice1	choice1	choice1	choice1	choice1
54	2BT2YU98JHSXVDYCN22JIIOBM5ACO9	look at the Asus T91MT	"Who gives a f***k that asus has the hottest hardware? As long as you're forced to use windows or  linux on it, it stinks anyways."	choice3	choice3	choice3	choice3	choice5
55	2C914IXKO2LDCJ93JXXXCYOCF6QBC3	money is not a great  motivator for creative work	"Of course money is a great motivator -- like I was saying, look at the number of  creative apps on the App Store vs. Android Market.  It can't be the only motivation, but it helps a  lot."	choice3	choice3	choice3	choice3	choice3
56	21UCVLL3CA37WJ5GDR39WQU70O9Z9G	if they can deliver on providing a similar experience to  Office	"Nonsense.  If you believe that you're a fool.  Everyone and their mother has been trying to  replicate the Office experience, and none have succeeded.  Google Docs are okay, but they utterly  pale in comparison to MS Office.  Word Perfect, Lotus Smartsuite, etc.  They all died off because  of Office.  While Google can bleed money on their office killer they know full well that they can't  compete in the corporate world with Office."	choice3	choice3	choice3	choice3	choice3
57	2TYW40SPW1IRWJBPDRA3WAB6E6CE1G	Microsoft have a lack of vision.	"Care to explain exactly why Microsoft have a lack of vision?  Because looking at the Xbox 360, Windows 7 and Office 2010 you appear to be flat out wrong."	choice3	choice3	choice3	choice3	choice3
58	20JLY58B727QAKB67441FYFSY6V9U2	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"the thing about Chrome OS is...it's not shipping. It's still in testing stages, it's still  dependent on Google writing drivers to address the hardware in specific laptops and you may or may  not want to use yet another laptop just because it's a netbook.  The thing that is funny to watch is when netbooks came out there was this perception that everyone  was going to toss out their current laptop and instantly buy a netbook. When that did not happen,  those who did toss out their laptop went OH DANG!!! I miss my laptop and then had a netbook which  made it to craigslist and a laptop that they went back to because it never did enough for them.  iPad does solve a problem. It provides a platform for those of us who use our iPhones or Touch's to  do certain things but wish that the screen was larger at points in time. It's not a full laptop but  it has a screen that puts ANY netbook to shame and speedwise was quite impressive.  Sure ChromeOS when it comes out will be nice in some regards and fill some niche. However when your  email goes out via GMAIL it is on the web and you cannot get to it. We've seen this with Gmail  outages time and again. The iPad can either leave your email on the server of me.com or on your own  hosted servers, or it can probably inhale it and then synch it back somewhere else later on.  ChromeOS competes with WindowsXP, VISTA, 7. It does not stack up against OSX or the iPhone OS which  is out there on millions of platforms (touchs, iphones, and soon iPads). It will be slow in getting  out there, no matter how many people say differently as we've seen things take time to entrench  before.  iPad will sell. I am planning the things to add to mine already when it's home with me in around 90  days."	choice3	choice3	choice3	choice3	choice3
59	2BT2YU98JHSXVDYCN22JIIOBM59OCK	iWork for iPad demo	"Really, Mr. MG? You think iPhone OS based iWork apps beat Google's cloud based competition? May  be for minority, or for people  who needs to maintain grocery lists. But not for majority of people."	choice3	choice3	choice3	choice5	choice3
60	261WKUDD8XMFDSY0MN263TO6WV5CNU	The iPad And Chrome OS Netbooks Are On A CollisionCourse	apple is clearly smarter than google. android apps won't run on chrome.	choice3	choice5	choice1	choice3	choice5
61	2J9CJK63ZVE7RTVBH51QIJL5UU4Y9N	At least with an iPad you get real customer service	"Oh yeah, that's why Apple has been able to provide a good fix for its busted 27 iMacs, huh?"	choice3	choice3	choice3	choice3	choice3
62	2C914IXKO2LDCJ93JXXXCYOCF6QBC3	"How can the iPad be considered better, what because it runs Windows 7? A normal PC OS? That is not  a problem, as you can get tablet specific applications if you want, there just is no need for them.  Just admit that the iPad is not innovative, and stop drinking the Apple koolaid."	"Apple has got loads of competition on the hardware-side, but the only ones who's got a  clue software-wise is Google. Chrome and Android is closing in on macos / iPhone os."	choice3	choice1	choice1	choice1	choice1
63	2DH9RNDWIOV529NEQ0KG313YGQYGVO	The iPad And Chrome OS Netbooks Are On A CollisionCourse	whichever platform or device that helps make developers money will win. My money is on apple.  It's really hard for developers to make money on Google platform and device because they just want  everything to be free and slap some ads on there.  When's the last time you hear about any developer became a millionaire from an Android app or  Chrome app?	choice1	choice1	choice1	choice3	choice1
64	2Q9J85OZIZELWC5G9BFQEEWP0CMYA2	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"I agree these two products are on a collision course, I've heard a lot of people lately trying to  come up with ways they'd use the iPad, and one of them is using the iPad as a web-tablet that you  can have around the house to quickly pickup and check email or google something. Sounds a lot like  what Google said you'd use a Chrome OS netbook for."	choice1	choice1	choice1	choice1	choice1
65	2ECLRGNTBJ3QWFSW2CYNF2KHE0C8UB	netbooks are better than the ivagina	"good to know, I have been able to really use the iPad for more than a few minutes, so I  have to defer to your experience with it."	choice1	choice1	choice5	choice1	choice1
66	2776AUC26DGAHFWOQIRFT0CONTA4BK	"Next thread on AppleCruch: iPad: Buy it, because we're telling"	2	choice5	choice5	choice5	choice5	choice5
67	20EKUDD8XMB7054QNYXU2O6T75LODK	you'll hardly make any money even if it's one of the best apps on the platform	...I'm not so sure about that (the money side of things). Watch this video from Dan Pink:  &lt;URL/&gt; http://www.ted.com/talks/dan_pink_on_motivation.html and you'll see money is not a great  motivator for creative work.	choice3	choice1	choice3	choice3	choice3
68	2BT2YU98JHSXVDYCN22JIIOBM59OCK	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"Lets face it, the ipad is a device without a clear target group. We don't know yet who will buy  the ipad, what its main use is going to be and whether it's going to be successful (my guess --  no)."	choice3	choice3	choice1	choice3	choice5
69	261WKUDD8XMFDSY0MN263TO6WV5CNU	Microsoft have a lack of vision. Maybe this will kick start `em -- but it's a catch up game with  them.	"the ones badmouthing microsoft here, do you guys ever actually use a machine for work?"	choice3	choice3	choice3	choice3	choice3
70	2NJ8N46UXFCHE7S31GED1NTKLETTRH	the iPad is not innovative	to say the iPad lacks innovation because a few  features are missing is ludicrous.	choice3	choice3	choice3	choice3	choice3
71	261WKUDD8XMFDSY0MN263TO6WV5CNU	"the fact the Apple controls the entire experience from silicon to UI will ultimately  tighten the user experience to the point that people won't see it like a computer, but rather a  device (like a toaster) that is a no-brainer to use."	"They say prophesy is given to the fools, so I'd play the fool and predict: Apple's closed  garden approach will eventualy FAIL."	choice3	choice3	choice3	choice3	choice3
72	2JNL8I9NZW6LO11F1RHWGT86C7KLVZ	you're forced to use windows or  linux on it	"Ummmm..... Chrome OS and Android run on top of the Linux kernel.  I know they're realistically not Linux, but I think the fact that these other OSes rely on Linux  says enough."	choice1	choice3	choice1	choice3	choice3
73	2K5AB6BFMFFS80DKOGAFMGESFRHWJI	there are little red dotted boxes around many of the hyperlinks on this page	Sounds like a Chrome SEO extension highlighting nofollow links.	choice1	choice5	choice1	choice5	choice5
74	23SZHHRRLFQ4YPIME4SKQO9EJI1OFV	Microsoft's $3.05B	"Microsoft had a net income of around 14.5 billion USD in 2009, not 3.05 billion USD."	choice3	choice3	choice3	choice3	choice3
75	2776AUC26DGAHFWOQIRFT0CONTA4BK	"Apple, as they made clear  with their overly-long iWork for iPad demo on Wednesday, wants everyone to move towards using  iPhone OS-based apps."	the iPad can't possibly keep up with the iPhone app store review policy	choice5	choice1	choice1	choice3	choice3
76	2NJ8N46UXFCHE7S31GED1NTKLETTRH	"Google Docs are okay, but they utterly  pale in comparison to MS Office."	"Sure MS Office monster has a superior functionality, but majority of private users and  many of businesses does not even need 90% of its power."	choice3	choice3	choice3	choice1	choice3
77	23SZHHRRLFQ4YPIME4SKQO9EJI1OFV	"Microsoft had a net income of around 14.5 billion USD in 2009, not 3.05 billion USD."	"Microsoft net income for FY09 14,569,000  Apple net income for FY09 8,235,000"	choice1	choice1	choice1	choice1	choice1
78	2WW4EGDHDM29VAD0AMN6QEZ6R5VCMU	look at the Asus T91MT	"I have the T91MT, but nice as it looks from the specs it (Windows 7 Touch) just doesn't  respond the way the iPad appears to."	choice5	choice3	choice3	choice3	choice1
79	2TYW40SPW1IRWJBPDRA3WAB6E6CE1G	Apple is anti-netbook	Apple did a netbook. It was the Air. It was too expensive for what it offered and didn't make  many waves even among Apple fans because it wasn't snappy enough given its price.	choice3	choice3	choice3	choice3	choice3
80	2QG8TNKIMZSQFMA8FPFM9PGVIU7YBX	I just can't wait for them to bring something innovative	hope so that they really brings a revolutionary change .. hmm like an operating system  ... without anu bugs and viruses ... but I seriously hope that they really launch a good product in  the market ..	choice1	choice1	choice1	choice3	choice1
81	2GYKPEIB9BA0VUHOCDWV6UD3PKH0X8	"Apple, as they made clear  with their overly-long iWork for iPad demo on Wednesday, wants everyone to move towards using  iPhone OS-based apps."	wants everyone to move towards using iPhone OS-based apps. or you could say they wanna bring  people inside their tightly controlled ecosystem.	choice1	choice3	choice1	choice1	choice3
82	23T3Q39Z0B6Y3Q1KR1MS2VRKJGMLW9	The iPad And Chrome OS Netbooks Are On A CollisionCourse	Confused. More than ever.	choice3	choice5	choice5	choice3	choice5
83	20JLY58B727QAKB67441FYFSY6V9U2	The iPad And Chrome OS Netbooks Are On A CollisionCourse	"nice piece, MG."	choice1	choice1	choice5	choice1	choice1
84	2PWR9Y8TNKIQ9UHW728SBOM0S7L8V0	"the ones badmouthing microsoft here, do you guys ever actually use a machine for work?"	Yup quite a few machines actually and they are all Microsoft free	choice3	choice3	choice5	choice3	choice3
85	2ZB3HVWAVKIACPEHPOY2899QKX1OGU	*Netbooks aren't better at anything*.	netbooks are better than the ivagina	choice3	choice3	choice3	choice3	choice3
86	2K5AB6BFMFFS80DKOGAFMGESFRHWJI	I just can't wait for them to bring something innovative	"Don't hold your breath.  They're not going to make hardware. They are going to just update the UI on the Touch version of  Windows 7, which will suck."	choice3	choice3	choice3	choice3	choice3
87	2ZB3HVWAVKIACPEHPOY2899QKX1OGU	The iPad And Chrome OS Netbooks Are On A CollisionCourse	Great post!  I agree these two platforms are going to fight for the same business. With the number of old PC's  still out there in most homes and businesses there is ample room for both to prosper.	choice1	choice1	choice1	choice1	choice1
88	2DMZMAZHHRRPPSVFAAMRQ1KHR05CLS	"Next thread on AppleCruch: iPad: Buy it, because we're telling"	+3 ..someone is trying desperately to convince us why we need to buy this device not matter  if we wont do sh$$t with it.	choice3	choice3	choice1	choice3	choice1
89	21UCVLL3CA37WJ5GDR39WQU70O9Z9G	used  (Open)Office suit of apps where serious work is needed	"Could you tell me one feature about OpenOffice that you need, that's better implemented  than in iWork (or even doesn't exist there)? I used the OOffice Writer quite a lot 2-3 years ago,  Impress just a bit until I got VERY annoyed by it and Calc just for basic stuff. I also know MS  Office quite well and for a real power user, that's the one. However, since iwork 09 is out, I use  it alot and by now I prefer it in every way. It actually has every feature I really need and those  that I need are by FAR better implemented than in OOffice and most of the times even better than MS  Office in terms of simplicity. There are some crucial benefits like the positioning rulers that pop  up, or the alt-arrow-key combination for inserting rows/cols that make often used actions so much  simpler, you ask yourself how you could have lived without it. Even numbers has become great, if  you don't need pivot-tables it's probably all you need, again, and there it's much simpler. Also,  MS Office import / export is SO much better than in OOffice. Give it a try!"	choice3	choice3	choice3	choice3	choice3
90	2FILWSBRI8IYL4TLWVAH1TLB6CQE2X	"With it, they feel that they've created a $500 (for the baseline version)  device that is superior to every netbook out there."	"To Everyone that thinks the iPad is so much better than a netbook, and that there are no  other multi touch devices. I tell you to look at the Asus T91MT.  It has multi touch, it has 32gb SSD, SD slots, USB ports, audio ports, web cam, tablet mode, multi  touch track pad, fast, 6 hours of battery life, and oh yeah it's only $550.  How can the iPad be considered better, what because it runs Windows 7? A normal PC OS? That is not  a problem, as you can get tablet specific applications if you want, there just is no need for them."	choice3	choice1	choice3	choice3	choice3
