	callout_sentence	target_sentence	label
323	You sound like my grandfather bickering about young people taking over his factory job.	You can thank imported guest workers who are busy taking over Adobe and throwing every American  worker they can find out. Clueless Indian managers like Anil Bhavnani who runs up and down the  halls writing down the names of every American he can find on a yellow pad so he knows who to get  rid of. Brilliant imported Indian managers like Bhavnani who have to ask Americans where he can get  the MSDN CD from. Not only that but Bhavnani didn't even know how to play the Indian IT griftology  racket -- after being laid off, he asked me to come back to work for one week only to train my  slumdog replacement. I laughed in his face and sent him and Digby Horner an email telling them to  learn their racket better if they were going to play that game. The company is in chaos internally  and they have no idea what they are doing.  Or how about feature-of-the-day Viet Namese Acrobat project manager Lily Tran whose staff is 100%  Viet Namese? No racism or Xenophobia going on there, right professor? She isn't qualified to run a  noodle shop, let alone a software project. When I worked at Adobe and asked her for a GANTT chart,  she didn't even know what one was. No wonder Adobe has to lay people off. Their software is junk,  they've thrown out all the Americans out who created the company, and the place is filling up with  3rd world losers. In a few more years expect Adobe to end up like Sun bleeding red ink. Thanks  imported guest workers. You sure are brilliant. You sure are keeping America competitive.  Someone needs to find out how many in this layoff are Americans and how many are non-Americans. In  the 2005 layoff it was 100% Americans laid off. Not one single foreign imported worker was laid off.  This is foreign takeover folks. That's the reason for this layoff as with others in the past.	0
143	netbooks are better than the ivagina	*Netbooks aren't better at anything*.	0
77	Actually, he was comparing profit... See how he said profit not net income.  They're two different things.	Microsoft had a net income of around 14.5 billion USD in 2009, not 3.05 billion USD.	0
105	Think about it from a developer's standpoint.  With Apple, you could develop something on the  iPhone or iPad first, and then tweak it a little bit to work on the other device.  You only have to  think about a max of two platforms, both with a huge base of users who have demonstrated that they  are will to pay good money for quality apps.  Then look at Google.  You could develop something for Android, and there's no guarantee that it  will even work on all android phones.  Plus, they have not done a good job training their users to  pay for apps, so you'll hardly make any money even if it's one of the best apps on the platform.   And then you can't leverage any of your android hard work on Chrome OS because the two have even  less in common.  If developers are the difference between success and failure (as a different TC post has said  today) then Apple has already won.  It's the ecosystem.	Google wants  everyone to move towards doing everything on their apps in the cloud. Apple, as they made clear  with their overly-long iWork for iPad demo on Wednesday, wants everyone to move towards using  iPhone OS-based apps.	0
135	ya...its funny cause its true  Dane Cook	Its funny because he used a lot of words.	1
181	the iPad can't possibly keep up with the iPhone app store review policy	Apple, as they made clear  with their overly-long iWork for iPad demo on Wednesday, wants everyone to move towards using  iPhone OS-based apps.	1
256	Uhhhh yeah, Im pretty sure TechCrunch has had a sizable following for much longer than  Twitter has been around.  In fact, it goes the other way. I didnt start using Twitter until TechCrunch started reporting so  heavily on it.	Without it your readership would be so weak dude.	0
260	Like anyone would want to work for a loser like you. As I said, I have my own  business. I control my own life, not you or Adobe or losers like Anil Bhavnani or Lily feature of  the day Tran.	you're not getting any contract from me	0
176	Nice, now you just hire the 3rd class worker and exploit it yourserlf...	I have my own  consulting company.	0
298	Just like Daylight Savings Time.	it stuck	1
20	Bob, most of developers in Acrobat team are Americans.	they've thrown out all the Americans out who created the company, and the place is filling up with  3rd world losers	0
208	To do something innovative ,first they have to change their CEO!	Microsoft have a lack of vision. Maybe this will kick start `em	1
138	A tip for the editor...  The Chromium OS team (the base of Chrome OS) is working on Tablets, Netbooks, Notebooks, and PC  Desktops.  That's include... high resolutions desktops, multitouch support, accelerometer, and four (4) user  interfaces for Chromium.  Read the Open development page of Chromium OS for more info.	But the obvious strategy for this used to be that Google would attack Microsoft from the bottom  with its Chrome OS netbooks, while Apple attacked from the top with their premium computers, &lt;URL/&gt;  leaving Microsoft squeezed in the middle. With the iPad now clearly aimed at netbooks thanks to its  pricing and Apple's positioning, everything is &lt;URL/&gt; different.&lt;br /	0
296	that back button is key. navigation is actually much easier on the android.	the dedicated `Back' button	1
190	I agree with most of what is said here. The Android phone is the winner when it  comes to pleasing the geek crowd.	Android is in a really good position.	1
249	But still, I don't exactly consider netbooks and the iPad to be on a collision course. My mum wants  an iPad because it has a big screen and has intuitively limited functionality, and I want a netbook  because I just need something that I can easily type on and customise the experience to what I want  and need.  Same position in the market (in between phones and regular computers) but not on the same paths in  my opinion.	The iPad And Chrome OS Netbooks Are On A CollisionCourse	0
284	Twitter or no Twitter, youre wasting your talent. Just because youre fairly good at writing your  way through a sentence doesnt mean youre actually saying anything interesting.  Sorry, but that really was masturbation, and Im kinda bummed I wont get the time back. And I  didnt skim.	1800 words is 1796 too many, when I could have simply  pulled a Bartleby and said I prefer not to.	0
172	Well ironically, since I follow TC on twitter, I got to reading right away!	Are you guys all part of the same speed reading club?!	1
51	I didnt.	the way i heard of this article was through a tweet	0
280	Chrome OS will for Tablets, Netbooks, Notebooks, and PC Desktops. See the link... &lt;URL/&gt;  http://dev.chromium.org/chromium-os/user-experience/form-factors  Collision Course?	The iPad And Chrome OS Netbooks Are On A CollisionCourse	1
229	Just for accuracy sake Adrian Popa is a Romanian name, and it actually means  Adrian the Priest.	Popa means Ass in Russian	0
117	whichever platform or device that helps make developers money will win. My money is on apple.  It's really hard for developers to make money on Google platform and device because they just want  everything to be free and slap some ads on there.  When's the last time you hear about any developer became a millionaire from an Android app or  Chrome app?	The iPad And Chrome OS Netbooks Are On A CollisionCourse	1
275	Not bitter -- just exposing what's going on inside the doomed company. I have my own  consulting company. I don't need to work at a hack shop like Adobe making bloated junk no one  wants.	Bitter much?	0
325	Google has vapor ...  Meanwhile, Apple is busy working on iPad (hardware) iPhone v. 4  When holiday season rolls around, Apple is likely to be on another burned-in version of iPad  hardware...	Google, which plans to release its first Chrome OS-based netbooks in time for the holiday season  next year	0
6	Actually Republicans DID DEREGULATE EVERYTHING. What did we get? We nearly get the  GREAT DEPRESSION II.  Plus, the recession started in Dec. 2007 under W's watch.  Also, Republicans  have long  supported giving tax credits to companies that outsource jobs. IT Outsourcing didn't  decrease when Republicans controlled congress it actually one of the first waves of it started and  then later increased.	we  have another year before we can put a stop to the powers that are destroying the US economy	0
224	Like WWF is a sport	I question its value as a news or other service.	1
2	Don't hold your breath.  They're not going to make hardware. They are going to just update the UI on the Touch version of  Windows 7, which will suck.	I just can't wait for them to bring something innovative	0
307	i, for  one, liked this article, thanks Jason.	The Switch From iPhone To Android, And Why Your First Impression IsWrong	1
120	About 40 million iPhones have been sold so far, and maybe another 25 million iPod touch's.   This platform has the highest satisfaction rate of any tech device I've ever heard of.  The Nexus  One has been out for 5 days.  How is then that there are so many experts here on the new phone, and  so few advocates of the iPhone?  Is this perhaps a biased crowd?	reading some of the Nexus One reviews I've noticed a negative tone, partly related to  the massive hype it got	0
174	Ummmm..... Chrome OS and Android run on top of the Linux kernel.  I know they're realistically not Linux, but I think the fact that these other OSes rely on Linux  says enough.	you're forced to use windows or  linux on it	0
237	ive come to the conclusion that its not techcrunchs bloggers. its the company  techcrunch its self.  here we all see more blabbering on about useless crap. do you guys get paid  to be this insignificant  why couldnt you tweet this;  blah blah blah im going to a nerd fair and i want to tell everyone why im so cool for not trying to  be a sheep like all of you losers! and i still have 6 characters left  why couldnt you just tweet that your a moron! it would have saved us all the time.  all i read was look i can use big word to describe to everyone im a idiot.  now i realize techcrunch deserves you on the payroll. not because you try to sound smart but  because you waste more time.	TechCrunch and Twitter are joined at the hip	1
147	They were greedy before. Now they're greadier.	human nature was never greedy before now	0
287	I use twitter because its the only way I could find out about this blog lt;URLgt;  httpstwitter.comMarkClaysonstatus3368828895	Why I Dont UseTwitter	0
64	As for the clowns quacking about changing the CEO, did you look at last quarter's results?	To do something innovative ,first they have to change their CEO!	0
226	I disagree too... some things they get right, some things they do not.	the iPhone is  a truly great design.	0
43	i've stopped my reader subscription to that site as a result of that post.  aside from  being extraordinarily comical, it only highlights exactly what this techcrunch article is talking  about.  people are SO used to their iphone, in a creepy way for some (like BGR), and as a result  they can't truly appreciate the different environment of the new device in their hands.	Especially true when you read garbage like this &lt;URL/&gt;  http://www.boygeniusreport.com/2010/01/09/google-android-personal-thoughts.	1
90	Please provide stats as to the % of Indians laid off to Americans laid off in this layoff.	Indian folks were affected by  layoffs as much as Americans.	0
312	Oh wow, I hadn't seen that page.  That tablet UI looks really nice.	See the link... &lt;URL/&gt;  http://dev.chromium.org/chromium-os/user-experience/form-factors	1
15	1. its not always abridged you can include links to websites like this one	What can be said in 140 characters is either trivial or abridged	0
106	the world is flat, remember?  it is not about moving jobs here and there, it is about getting things done at a reasonable quality  and at a cheap price. It is the same thing we witnessed back in the 90s when China became the  central for manufacturing. India might be doing the same for software and technology..	jobs that would have paid well over here,  are being moved over there	0
177	See Now youre being productive.	I did. Ive heard it all before. Anyhoo....why do I tweet? I tweet because Im too  lazyuninteresting to write blogs. Thats it.  And I like to follow interesting ppl. Not ppl I know in particular, but them also..although thats  what facebook is for. Oh..and changing status too often on facebook will piss ppl off.  Also, I look for tweets about my company as well as watch trending topics....  I like it. Sorry lt;IMAGEgt;	1
195	You're right. Can anyone name anything invented by an Indian company? Innovation is  not part of their culture.	Name one new modern technology to come from India.	1
68	I'm sorry to say, but these racistcomments about Adobe letting Americans go, and  keeping Indians, Chinese, etc, is true. The vast majority of people let go are over 40 and  American-born. Since Bruce C. left the CEO post, the new CEO Chantenyu (sic---I don't feel like  looking his ugly name up) has been gunning for Americans. IN the last 18 months, the Indian office  and Chinese office have been on a hiring frenzy.	just exposing what's going on inside the doomed company.	1
49	Like the reviewer said, it seems you can?t  find a related review, blog post, or tweet that isn?t gaging the device based on how it compares to  Apple?s juggernaut.  This is because Apple was the first to do it and they still continue to be the  industry leader.  These iPhone Clones are playing catchup.  Good luck with that.	Many of these iPhone users who are testing out Android for the first  time tend to get hung up on things that feel unfamiliar, or are griping about issues that will only  affect them once in a blue moon.	0
32	u have valid reasons in your post about how twitter falls short, but for  the time being i would like to use every avenue i have to get my articles read, my writing style  fixed, and get my topics to be more appealing. twitter helps somewhat, so ill take it!	a tweet is fundamentally valueless	0
86	Mike Amarose, Anil was laid off last year. Why do you harbor so much hate? It's unhealthy.	Clueless Indian managers like Anil Bhavnani	0
200	Hear, hear!	With the proper tax credits and other incentives, this wouldn't be happening.  But we  have another year before we can put a stop to the powers that are destroying the US economy.	1
45	Yes, vapor, like a demo and available open source operating system. -_-	Google has vapor	1
162	You my friend, are a douchbag. Congrats.	Youre clearly vain enough to stick around to read and respond here all night  I  would think youd love Twitter.  After all, your many answers to these inane comments mine included, but who said everything has to  be meaningful? are like awkwardly done Twitter replies.  Also why are there so many people named Adrian in these comments?  Twitter helped me reach people I would have had a much, much harder time reaching and as a  consequence it has helped to speed the growth of my business.  Would I use it if I didnt see the business value? Nope.  Twitter or no Twitter, youre wasting your talent. Just because youre fairly good at writing your  way through a sentence doesnt mean youre actually saying anything interesting.  Sorry, but that really was masturbation, and Im kinda bummed I wont get the time back. And I  didnt skim.	0
166	When the iPhone was released there was non-stop coverage/promotion of it as  well.  This is TechCrunch -- if they weren't talking about the Nexus they be failing to deliver the  content everyone is interested in.	non-stop promotion of Nexus One at techcrunch.com for two days	1
12	Japan is a growth market? That's a good one. Japan is shrinking. India wants  into Japan now because the U.S. is finally slamming the immigration door in India's face.	China/Japan lead the way FYI.	0
214	That's refreshing to read. You've described what's wrong with many reviews on tech blogs these  days. After reading some of the Nexus One reviews I've noticed a negative tone, partly related to  the massive hype it got and then reviewers feeling underwhelmed, but it also seems like some people  are mad it's not an iPhone. Stop reviewing products this way! I understand the comparison but then  you have to look at the device alone to gauge its merits.	Many of these iPhone users who are testing out Android for the first  time tend to get hung up on things that feel unfamiliar	1
111	Let's remember that Microsoft is also said to release a tablet called the Courier. It looks way  more promising than the iPad. If Microsoft releases that this year is sure to definitely kill the  iPad, as it will offer much more functionalities thatn the iPieceofjunk.	leaving Microsoft squeezed in the middle	0
31	Must not be very good at Java then.	I am knowing java and doing many projects management only	0
133	The logic of it started here, so should stay here is moot. If tomorrow China  can do it cheaper and scale it better than India (which they would in a matter of less than a  decade) most jobs would move there. Correct?	The jobs originated here and should stay here.	0
216	I am so sick and tired of CNNs Rick Sanchez and Josh Levs acting like Twitter is the  greatest thing since pants....if I hear Rick reference the Twitter board one more time...	But i cringe when i hear some one say it on TV.	1
79	Its not that there is nothing good about it.  Its just that whatever is there is  overhyped.	it was never there	0
149	Who wants to read 1930 words by someone we never heard of before about why I dont  tweet  Of course we just skim read it.	Are you guys all part of the same speed reading club?!	0
263	I agree with your what!	What?!	1
80	Me three.	me too.	1
288	Where do you actually get the apps? &lt;URL/&gt; http://www.android.com/market/ is so sparse  and ugly i have a hard time believing its the official store? Am i wrong? I am very interested in  the Android but cant seem to locate a directory with any of the supposed 18k apps. help!	I can't think of  a case where I couldn't find a comparable (albeit less polished) app on Android	0
210	Palm users are already used to that.	long-press home button to get to the recent app switcher is pretty nice once you  get used to remembering to use it	1
163	And the recession gets worse...	due to the recession	1
277	Dey took ar jobs!	So they take over our companies  and rip off the money &amp; tech, but their ultimate goal in the process is to destroy the company in  the end.	1
230	if you work in the design industries at all you have no choice. they have become a  monopoly of sorts.	Don't use it their software	0
332	They say prophesy is given to the fools, so I'd play the fool and predict: Apple's closed  garden approach will eventualy FAIL.	the fact the Apple controls the entire experience from silicon to UI will ultimately  tighten the user experience to the point that people won't see it like a computer, but rather a  device (like a toaster) that is a no-brainer to use.	0
62	Mike D is a Canadian. What do you expect?	Mike D, you are indeed an idiot.	1
54	So Twitter is valuable because its short and focused and doesnt let users ramble on  Wait, isnt it supposed to be a SOCIAL tool Doesnt socializing include communicating with others  in your own personal way What would the world be like if we all just got to the point and didnt  ramble on There were would basically be zero forms of entertainment or interesting conversation.	tweets are valuable because they stay true to one point, and dont let users ramble on	0
311	100% of Tran's immediate staff  are Viet Namese females -- I know -- I sat in meetings with her team. No racism going on there,  right?	I agree about Lily Tran. She's clueless dummy.	1
134	Bitter much?	You can thank imported guest workers who are busy taking over Adobe and throwing every American  worker they can find out. Clueless Indian managers like Anil Bhavnani who runs up and down the  halls writing down the names of every American he can find on a yellow pad so he knows who to get  rid of. Brilliant imported Indian managers like Bhavnani who have to ask Americans where he can get  the MSDN CD from. Not only that but Bhavnani didn't even know how to play the Indian IT griftology  racket -- after being laid off, he asked me to come back to work for one week only to train my  slumdog replacement. I laughed in his face and sent him and Digby Horner an email telling them to  learn their racket better if they were going to play that game. The company is in chaos internally  and they have no idea what they are doing.  Or how about feature-of-the-day Viet Namese Acrobat project manager Lily Tran whose staff is 100%  Viet Namese? No racism or Xenophobia going on there, right professor? She isn't qualified to run a  noodle shop, let alone a software project. When I worked at Adobe and asked her for a GANTT chart,  she didn't even know what one was. No wonder Adobe has to lay people off. Their software is junk,  they've thrown out all the Americans out who created the company, and the place is filling up with  3rd world losers. In a few more years expect Adobe to end up like Sun bleeding red ink. Thanks  imported guest workers. You sure are brilliant. You sure are keeping America competitive.  Someone needs to find out how many in this layoff are Americans and how many are non-Americans. In  the 2005 layoff it was 100% Americans laid off. Not one single foreign imported worker was laid off.  This is foreign takeover folks. That's the reason for this layoff as with others in the past.	0
180	Rick, plenty of folks who buy netbooks do not even need a real computer, and this is where  the iPad will fill that niche.	The iPad isn't a personal computer.	0
156	Well, then go to gizmodo/engadget/BGR and you can see plenty of negativity to go  around. The editors at tech crunch seem to like the Nexus One, get over it.	I feel like your comments about Nexus One is too positive to be self-thought.	0
19	2. its not always public you can direct message someone	Conversation is impossible; every exchange is  telegraphic	0
187	as they say, 90% of everything is shit. So i am not surprised if the iphone have more  quality apps, as that basically comes out of the overall number of apps available.	Comparing absolute numbers of apps is stupid	1
112	the thing about Chrome OS is...it's not shipping. It's still in testing stages, it's still  dependent on Google writing drivers to address the hardware in specific laptops and you may or may  not want to use yet another laptop just because it's a netbook.  The thing that is funny to watch is when netbooks came out there was this perception that everyone  was going to toss out their current laptop and instantly buy a netbook. When that did not happen,  those who did toss out their laptop went OH DANG!!! I miss my laptop and then had a netbook which  made it to craigslist and a laptop that they went back to because it never did enough for them.  iPad does solve a problem. It provides a platform for those of us who use our iPhones or Touch's to  do certain things but wish that the screen was larger at points in time. It's not a full laptop but  it has a screen that puts ANY netbook to shame and speedwise was quite impressive.  Sure ChromeOS when it comes out will be nice in some regards and fill some niche. However when your  email goes out via GMAIL it is on the web and you cannot get to it. We've seen this with Gmail  outages time and again. The iPad can either leave your email on the server of me.com or on your own  hosted servers, or it can probably inhale it and then synch it back somewhere else later on.  ChromeOS competes with WindowsXP, VISTA, 7. It does not stack up against OSX or the iPhone OS which  is out there on millions of platforms (touchs, iphones, and soon iPads). It will be slow in getting  out there, no matter how many people say differently as we've seen things take time to entrench  before.  iPad will sell. I am planning the things to add to mine already when it's home with me in around 90  days.	The iPad And Chrome OS Netbooks Are On A CollisionCourse	0
204	Lot's of music devices will pause the track when headphones get unplugged. The  Droid does this.	it's only my iPhone/iTouch that pauses music if the headphone jack gets unplugged	0
251	I do agree that the market truly sucks.  We definitely need a desktop based Market, update all,  delete from list, better search (oh the irony!) .	&lt;URL/&gt; http://www.android.com/market/ is so sparse  and ugly i have a hard time believing its the official store?	1
103	Just because the iPhone has a huge amount of apps, doesn't mean they're all worth having. The free  apps I have on my android phones are all high quality and I have used them for a year in most cases.	It's more  about the  features and apps and Android seriously lacks on latter.	0
152	Lol..Im so tired of rants from people that dont get Twitter. Just dont use it, then.	Why I Dont UseTwitter	0
89	I agree, total vanity.  I may spend too much time on Facebook occasionally, but Ill be  damned if I think that all of my friends care if I update my status several times a day.  How is  Twitter any different from that	Vanity! Twitter encourages it.	1
269	I don't think he is bitter. He is just saying Anil Bhavnani hiring all indians so with  his current Wipro job, he is able to get contract/project  from adobe with indians that he hire.	Why do you harbor so much hate?	0
35	Hey everyone!  Twitter was just a joke.  A prank to see who would fall for a useless  service that only narcissists could love.  But the funniest thing is, it stuck. Ahhhh!	a tweet is fundamentally valueless	1
122	I would say the iPad &amp; the Android Tablet are on a collision course.	The iPad And Chrome OS Netbooks Are On A CollisionCourse	0
235	I love this comment.	Lol..Im so tired of rants from people that dont get people who dont get Twitter.  They are not insulting you or your being....  Step down from the table, you are still a good person.	1
315	The only `intuitive' interface is the nipple. After that it's all learned.	You just knew how to use the iPhone from day one.	0
50	What!	ive come to the conclusion that its not techcrunchs bloggers. its the company  techcrunch its self.  here we all see more blabbering on about useless crap. do you guys get paid  to be this insignificant?  why couldnt you tweet this;  blah blah blah im going to a nerd fair and i want to tell everyone why im so cool for not trying to  be a sheep like all of you losers! and i still have 6 characters left  why couldnt you just tweet that your a moron! it would have saved us all the time.  all i read was look i can use big word to describe to everyone im a idiot.  now i realize techcrunch deserves you on the payroll. not because you try to sound smart but  because you waste more time.	0
148	And the long-press home button to get to the recent app switcher is pretty nice once you  get used to remembering to use it.	that back button is key	1
205	Dang, missed your comment and said the same thing.  That thing is pretty sweet, though.	long-press home button to get to the recent app switcher is pretty nice once you  get used to remembering to use it	1
21	That's very true.  With the iPhone, the sweet  goodness part of the UI is  immediately apparent.  After a minute or two, you're feeling empowered and comfortable.	when we first tried the iPhone it felt natural immediately	1
161	I was at Adobe for 15 mos on contract, and was supposed to go through EOY, but they cut me at  the end of October (their fiscal year).  Fortunately they gave me enough notice so I got more work  quickly.  I feel for those affected.	Confirmed: Adobe To Cut 9 Percent OfWorkforce	1
66	All right everyone, point and laugh!	it made me laugh	1
146	People from all places are welcome to move around? Then why did Japan deny India's  recent request to give it free jobs. Under U.S. law, (Title 8, Section 1182), any foreign person  working in the U.S. who adversely impacts the wages or working conditions of Americans is an  INADMISSIBLE ALIEN. People are free to move around? Not under U.S. law they're not.	ppl from all places are welcome to move around	0
160	Microsoft net income for FY09 14,569,000  Apple net income for FY09 8,235,000	Microsoft had a net income of around 14.5 billion USD in 2009, not 3.05 billion USD.	1
223	you guys do not get, do you?  it was deliberate, it is called taking the piss.	learn to spell and use grammar if you're going to criticise grammar.	0
87	But when we first tried the iPhone it felt natural immediately, we didn't have to  `unlearn' old habits from our antiquated Nokias &amp; Blackberrys.  That happened because the iPhone is  a truly great design.	after a few days you get the  hang of how it (the back button) works	0
151	No at all, twitter is not just a social media for breaking the news and it  doesmakes senseand spreads the communication in few seconds. it helps to developbusiness.. It  has its own value as do emails, IM, messages, posts, votes, invitations, events, feeds. Of course  its faster than other medias.	Twitter was always lame.	0
91	That would be proof that the average value is zero, not the total value.  Total value  would be the sum of all tweets, which as you mentioned is positive and infinite though less  infinite than worthless tweets.	the value of Twitter is zero	0
283	Care to explain exactly why Microsoft have a lack of vision?  Because looking at the Xbox 360, Windows 7 and Office 2010 you appear to be flat out wrong.	Microsoft have a lack of vision.	0
198	If  the project was dying, then why did someone (an Indian) replace me?	2005 and 2009 layoffs touched mostly dying and not profitable  projects,	0
261	Hotmail? ONE invention out of 5 million imported guest workers? That's a pretty  low ROI expecially considering how much other economic descrution the other 4,999,999 guest workers  have caused.	I'd say Hotmail was a pretty big deal.	0
119	Theres a lot of hype and so in the long  run Twitter may not change the world but the model is here to stay. In the end, it may also not be  Twitter that wins but the space and may be somewhere else.  But as an example, people will always follow celebrities for the same reason that they read and  watch TMZ. Its also very useful from a local business model, Ive found it particularly useful for  finding deals.  Finally, the search engine is very useful. When Clinton freed the American journalists in N. Korea,  Twitter was the best place I found to verify this when the news broke. Thus, throws on ads there  and monetize. I defintely see the value to the service. People should question market size,  structure and potential winner not so much viability of model.	a tweet is fundamentally valueless	0
201	I don't believe I read in Google hype really in this article.   I think Android is a  wonderful platform and they've got a great concept.	Google hype	0
206	Lets face it, the ipad is a device without a clear target group. We don't know yet who will buy  the ipad, what its main use is going to be and whether it's going to be successful (my guess --  no).	The iPad And Chrome OS Netbooks Are On A CollisionCourse	0
82	Slashdot has an article on a new $100 Android netbook that looks pretty reasonable to me.  The  lack of proper background multitasking on the iPad is a killer for me, as is the lack of a built-in  memory port of any kind.  I'm ordering one ASAP just to play with it, but it'll probably gather  dust like my iPhone 3G and my iPod Touch that I bought to play with and gave up hope on.	Now, it remains to be seen if people who buy an iPad will do so instead of buying a netbook. At  first, &lt;URL/&gt; I'm not so sure that will be the case. But it stands to reason that eventually, this  will happen. And as Jobs' comments on stage on Wednesday made abundantly clear, that's Apple's idea  too. In their eyes, you shouldn't buy a cheap, underpowered PC, you should buy an iPad, their  anti-netbook.	0
